At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Village/Sub-district,Yes,Student ,Male,Jamalpur,Mymensingh,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"BDT 24,000 - 45,000","200,000","200,000","5,000","5,000",Content quality,Quality of teachers,Online community of learners,Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),,,
Village/Sub-district,No,Student ,Male,Thakurgaon,Rangpur,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 16,000 - 24,000","150,000","150,000","টিউশন=3000, ম্যাচ ভারা =2500, সব মিলে প্রায় 7500","3,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Female,Faridpur,Dhaka,Grade 10,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,5,"> BDT 45,000",100000+,"100,000","1,350","1,350","Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Cheaper cost of access,,,No improvement was seen,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,
District City,Yes,Student ,Male,Jhenaidah,Khulna,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,9,"> BDT 45,000","100,000","100,000",Math-5000; english-3000;physics -6000; chamistry and biology -5000.,"19,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
Village/Sub-district,No,Student ,Male,Sunamganj,Sylhet,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,10,"< BDT 12,000","100,000","100,000","6,000","6,000",Content quality,Quality of teachers,Safety or health related reasons,Online community of learners,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Female,Bogura,Rajshahi,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"> BDT 45,000",1 lakh,"100,000","8,000","8,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Narsingdi,Dhaka,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000","95,000","95,000",থাকা খাওয়ার খরচ ৯০০০টাকা  আর কোচিং করু না টেন মিনিট স্কুলের একটা কোর্সে এড আছি ,0,Cheaper cost of access,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,No,Student ,Female,Cumilla,Chittagong,Grade 11,Up to Grade 12,"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","80,000","80,000",পদার্থ +গণিত ১০০০,"1,000",Others,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,,,,
Village/Sub-district,No,Student ,Male,Jessore,Khulna,Grade 10,Up to Masters,Private school,Other,Below 60,Do not own or share a mobile,3,3,"BDT 16,000 - 24,000","78,374","78,374",467,467,Cheaper cost of access,,,,,,The student has gained access to employability opportunities.,,,,,,Strengthen on-line student community,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 12,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,3,6,"< BDT 12,000","78,000","78,000","24,000","24,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
